280006D5 = fx_character.fxl | fx_character_rooting_attack
04000048 = fx_dialog.fxl | Morpheus_Arrives at Spot_MorpheusRecording_ThankYouForYourGuidance
22000647 = fx_environmental.fxl | Lightning_Lightning_Small_0
1246310D = fx_interlock.fxl | new_combat_interlock_tether_2
DE000089 = fx_live_events.fxl | event_2_1_fb_boss_corrupted_children_fb_lhand
0800000E = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_02_min_g
28000681 = fx_object.fxl | Traps_detect_code_trap_dangerous
B0000028 = fx_object.fxl | fx_object_Searchlight_pulse_1
22000021 = fx_sound_ambient.fxl | Defaults_Default Interior Spawner
2200002E = fx_sound_ambient.fxl | Weather_Snow Low Spawner
28000A6A = test.fxl | Temp_zen_master
1246315B = fx_ads.fxl | Building_Side_Sprite_Ads_sprite_ad_01
280005E4 = fx_character.fxl | fx_character_crash_cast
860000A3 = fx_character.fxl | Emotes_giggle_female
280000F8 = fx_character.fxl | viruscast_split_sweep_party1_sweepparty1_middle
28000179 = fx_character.fxl | viruscast_split_overload_overload1_middle
2800086D = fx_character.fxl | viruscast_split_logicdaemon_logicdaemon3
58000036 = fx_dialog.fxl | Oracle_Misc Lines_Oracle_Yes
58000135 = fx_dialog.fxl | Niobe_Seeking Assassin_Niobe_INeedMoreInfoAbout
580002B3 = fx_dialog.fxl | Persephone_Satisfied with Kiss_Persephone_YesThatIsWhatINeeded
580002B4 = fx_dialog.fxl | Persephone_Speaks to New Recruit_Persephone_MyHusbandIsAVeryDemandingManButIThinkYou
58000317 = fx_dialog.fxl | Seraph_Gives Item_Seraph_ThisIsForYouToCareForNow
5800035D = fx_dialog.fxl | Niobe_Stops Following_Niobe_WeShouldKeepMoving
22000648 = fx_environmental.fxl | Lightning_Lightning_Small_1
280004C3 = fx_handcombat.fxl | fx_handcombat_Hit_HF_B
28000748 = fx_handcombat.fxl | fx_handcombat_Hit_LB_B
DE00003D = fx_live_events.fxl | Test_newagent_fire_1
08000005 = fx_live_events.fxl | Cypherite_cypherite_searchlight_voc
08000BC0 = fx_live_events.fxl | winter_snowsim_children_ss2_lhand
2800065B = fx_object.fxl | GameObjects_access_node
4A000028 = fx_props.fxl | searchlight_searchlight_animated
8600001E = fx_weapon.fxl | fx_weapon_revolver1_silver_bullet
86000112 = test.fxl | TEMPalert
1246315C = fx_ads.fxl | Building_Side_Sprite_Ads_sprite_ad_02
280005B9 = fx_character.fxl | fx_character_level_up
280005FF = fx_character.fxl | fx_character_rifle_simulacra_cast
28000021 = fx_character.fxl | viruscast_split__debuff__start
280000FC = fx_character.fxl | viruscast_split_sweep_party1_sweepparty2_middle
28000871 = fx_character.fxl | viruscast_split_logicdaemon_logicdaemon4
280009D1 = fx_character.fxl | viruscast_split_find_weakness_find_weakness_end
4A000001 = fx_cinematic.fxl | cinematic 5.1_beam_explosion_1
580000E9 = fx_dialog.fxl | Oracle_Misc Lines_Oracle_NowYourGettingIt
580000D9 = fx_dialog.fxl | Merovingian_Cell Phone_Merovingian_IHaveAJobForYou
5800010F = fx_dialog.fxl | Sati_GROUPED MESSAGES_Sati_Arrives_At_Spot
58000117 = fx_dialog.fxl | Sati_Misc Lines_Sati_DoYouUnderstandNow
5800011F = fx_dialog.fxl | Sati_Misc Lines_Sati_MerovingianIsMean
58000123 = fx_dialog.fxl | Sati_Misc Lines_Sati_MyFavoriteColorIsRed
580002A0 = fx_dialog.fxl | Persephone_Flirts_Persephone_Flirts_IHaveLongedForSomethingIsThisIt
580002A3 = fx_dialog.fxl | Persephone_Follows_Persephone_IllBeRightBehindYou
5800035F = fx_dialog.fxl | Niobe_Thanks for Assistance_Niobe_ThanksForYourAssistance
28000167 = fx_environmental.fxl | fx_environmental_steam_small
12000006 = fx_GoldenTickets.fxl | RSI_Attribute_Reconfig_Defragging_Box
280004D5 = fx_handcombat.fxl | fx_handcombat_Hit_HF_C
28000749 = fx_handcombat.fxl | fx_handcombat_Hit_LB_C
12463142 = fx_live_events_2.fxl | agent_anderson_death_1
040000B3 = fx_npc.fxl | oligarchs_children_ogx
28000680 = fx_object.fxl | Traps_detect_component_dangerous
28000837 = fx_object.fxl | fx_object_Interface_tactic_ability_glow_grab
040000BE = fx_object.fxl | other_x3ground
040000A4 = fx_Pandoras_Box.fxl | Portal_kuno_portal_open_daimyo
4A000119 = fx_props.fxl | club_props_polyvinyl_sign
280004DF = fx_traps.fxl | Traps_Acid_Spray
86000023 = fx_weapon.fxl | fx_weapon_revolver2_silver_bullet
2800083B = fx_weapon.fxl | fx_weapon_machine_energy_rifle_muzzle_flash
28000019 = test.fxl | Test FX_steam_small
20000003 = test.fxl | snd_city2
2800060C = fx_character.fxl | hacker_simulacra_summon_base
280006B1 = fx_character.fxl | fx_character_synaptic_circle_kick
2800001A = fx_character.fxl | viruscast_split_area_disruption_area_disruption1_end
280000CA = fx_character.fxl | viruscast_split_combat_shutdown_combatshutdown_end
2800013F = fx_character.fxl | viruscast_split_rejuvenate_rsi_rejuvenate_rsi_start
2800089D = fx_character.fxl | viruscast_split_repairsimulacra_repairsimulacra1
280009CE = fx_character.fxl | evade_shield_shield_low
4A000012 = fx_cinematic.fxl | cinematic 1.3_time_bomb_countdown_:05_:03
28000A1F = fx_cinematic.fxl | cinematic 3.3_helicopter_light
4A000002 = fx_cinematic.fxl | cinematic 5.1_beam_scorch_1
08000001 = fx_cryptos.fxl | dialog_3_3_redpill
58000037 = fx_dialog.fxl | Oracle_Misc Lines_Oracle_ThankYou
58000171 = fx_dialog.fxl | Persephone_GROUPED MESSAGES_Persephone_Follows
580001DE = fx_dialog.fxl | Merovingian_Takes Item from Persephone_Merovingian_ISeeTrinketFromPersephone
58000309 = fx_dialog.fxl | Seraph_Arrives at Spot_Seraph_ThankyouForYourGuidance
5800033E = fx_dialog.fxl | Niobe_Gives Item_Niobe_IHaveSomethingForYou
2000002B = fx_environmental.fxl | Sounds_drawer_open
0800000D = fx_live_events.fxl | event_2_1_bomb_countdown_countdown_05_min_g
2800056A = fx_object.fxl | GameObjects_active_laptop_computer
28000740 = fx_object.fxl | fx_object_light_glare_light_glare_amber
28000790 = fx_object.fxl | fx_object_corrupt_code
860000AC = fx_character.fxl | Emotes_sarcasticclap_male
28000034 = fx_character.fxl | viruscast_split_buffer_overflow_bufferoverflow1_middle
2800007D = fx_character.fxl | viruscast_split_cancel_upgrade_cancelupgrade1_middle
2800008C = fx_character.fxl | viruscast_split_area_disruption_area_disruption2_end
28000155 = fx_character.fxl | viruscast_split_potency_potency_end
2800079E = fx_character.fxl | viruscast_split_freeze_area_freezearea1_end
2800088C = fx_character.fxl | viruscast_split_remoteproxy_remoteproxy1_start
280008A1 = fx_character.fxl | viruscast_split_repairsimulacra_repairsimulacra2
280009E5 = fx_character.fxl | viruscast_split_emergency_repairs_emergencyrepairs1
12463172 = fx_character.fxl | combat_rev9_components_precise_throw_leftarm
28000A80 = fx_cinematic.fxl | cinematic 5.1_muzzle_flash_muzzle_flash
58000050 = fx_dialog.fxl | Oracle_Random Quotes_Oracle_IKnowYouDon'tUnderstandButYouWill
5800016E = fx_dialog.fxl | Persephone_GROUPED MESSAGES_Persephone_Greets_Enemy
580001D0 = fx_dialog.fxl | Merovingian_Speaks to New Recruit_Merovingian_ButIfYouBetrayMeYouWillDie
58000218 = fx_dialog.fxl | Morpheus_Quest for Neo's Remains_Morpheus_HowCanWeBeTrulyFreeUntilTheOneWhoSavedUs
58000337 = fx_dialog.fxl | Niobe_Being Attacked_Niobe_WellThisIsTurningIntoARealExcitingDay
28000460 = fx_environmental.fxl | fx_environmental_bitrot
86000129 = fx_footsteps.fxl | fx_footsteps_Lands_wood
20000023 = fx_handcombat.fxl | sounds_Move100ms
040000BC = fx_npc.fxl | oligarchs_spawns_antioverproto01
4A0000F8 = fx_props.fxl | club_props_spotlights_angled_rotating_3m_rotating_green_1
2200000C = test.fxl | Text Rising
28000A6D = test.fxl | Temp_balance_end
280005D2 = fx_character.fxl | hacker_health_castbase
2800003A = fx_character.fxl | viruscast_split_buffer_overflow_bufferoverflow2_middle
28000082 = fx_character.fxl | viruscast_split_cancel_upgrade_cancelupgrade2_middle
280007F4 = fx_character.fxl | viruscast_split_code_nuke_codenuke
2800017D = fx_character.fxl | viruscast_split_overheat_overheat1_middle
280007A2 = fx_character.fxl | viruscast_split_freeze_area_freezearea2_end
28000890 = fx_character.fxl | viruscast_split_remoteproxy_remoteproxy2_start
280008A5 = fx_character.fxl | viruscast_split_repairsimulacra_repairsimulacra3
28000905 = fx_character.fxl | viruscast_split_stun_stun1_end
2800092B = fx_character.fxl | viruscast_split_patcher_patcher_start
28000967 = fx_character.fxl | viruscast_split_force_enhancer_forceenhancer_end
280009E9 = fx_character.fxl | viruscast_split_emergency_repairs_emergencyrepairs2
4A00000F = fx_cinematic.fxl | cinematic 1.3_sewage_treatment_mixtank
4A000000 = fx_cinematic.fxl | cinematic 5.1_BEAM_DOME_TEST_1
5800004B = fx_dialog.fxl | Oracle_GROUPED MESSAGES_Oracle_Random_Quote
580000D5 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_OhPutainD'bordelD'merde
58000191 = fx_dialog.fxl | Persephone_Cell Phone_Persephone_GotoLevrai
580001AD = fx_dialog.fxl | Merovingian_Gives Item_Merovingian_TakeThis
580001EB = fx_dialog.fxl | Merovingian_Tries Recruiting Player_Merovingian_ThereAreManySidesInThisConflictButEach
58000232 = fx_dialog.fxl | Oracle_Asks Player to Stop_Oracle_ThereIsFineStopThere
5800024D = fx_dialog.fxl | Oracle_Player Arrives at Spot_Oracle_HereWeAre
20000029 = fx_environmental.fxl | Sounds_cardbox_close
280004C5 = fx_handcombat.fxl | fx_handcombat_Hit_LF_B
1246312C = fx_live_events_2.fxl | live_event_2_3_Fly_Infestation_fly_virus_loot
2800052A = fx_object.fxl | fx_object_select_target_select_target
90000002 = fx_object.fxl | GameObjects_file_folder
2800077E = fx_object.fxl | fx_object_Interface_define_1
280009C6 = fx_object.fxl | fx_object_Interface_neighborhood_names_union_hill
12000015 = fx_Pandoras_Box.fxl | Portal_pulsing_broken_rings
0400009C = fx_Pandoras_Box.fxl | Portal_kuno_portal_ending_daimyo
2800075D = fx_props.fxl | props_dt_largesigns_dt_largesign10_med
2000000B = fx_RichWorldSnds.fxl | Helicopter_diving
8600019C = fx_sound_ambient.fxl | World Ext_Richland 0
860001AF = fx_sound_ambient.fxl | World Int_Dungeon Grocery 0
860001BE = fx_sound_ambient.fxl | World Int_Subway Spawner
8600017F = fx_weapon.fxl | fx_weapon_machine_energy_rifle_reload
280006D3 = fx_character.fxl | fx_character_recall_mission_team_phase_in
860000B3 = fx_character.fxl | Emotes_yawn_male
2800003D = fx_character.fxl | viruscast_split_buffer_overflow_bufferoverflow3_middle
280000C3 = fx_character.fxl | viruscast_split_combat_enhancements_combatenhancements1_middle
28000182 = fx_character.fxl | viruscast_split_overheat_overheat2_middle
280007A7 = fx_character.fxl | viruscast_split_freeze_area_freezearea3_end
280007C4 = fx_character.fxl | viruscast_split_enhanced_potency_enhancedpotency_start
28000894 = fx_character.fxl | viruscast_split_remoteproxy_remoteproxy3_start
280008A9 = fx_character.fxl | viruscast_split_repairsimulacra_repairsimulacra4
28000909 = fx_character.fxl | viruscast_split_stun_stun2_end
2800097C = fx_character.fxl | viruscast_split_enrage_foes_enrage_foes
28000988 = fx_character.fxl | viruscast_split_upgrade_artist_upgrade_artist
280009FA = fx_character.fxl | fx_character_steady_aim
280006D9 = fx_cinematic.fxl | cinematic 1.2_cookie_morpheushand_bitten
58000105 = fx_dialog.fxl | Morpheus_GROUPED MESSAGES_Morpheus_Arrives_At_Spot
58000172 = fx_dialog.fxl | Persephone_GROUPED MESSAGES_Persephone_Stops_Following
580002E9 = fx_dialog.fxl | Sati_Follows_Sati_ButYouTakeSuchBigSteps
58000318 = fx_dialog.fxl | Seraph_Greets Ally_Seraph_GoodDay
5800036C = fx_dialog.fxl | AgentGray_Graduation_FinishedSeduction
860000C3 = fx_environmental.fxl | Sounds_cashregister_close
280004C8 = fx_handcombat.fxl | fx_handcombat_Hit_MF_B
280004D8 = fx_handcombat.fxl | fx_handcombat_Hit_LF_C
DE00008B = fx_live_events.fxl | event_2_1_fb_boss_corrupted_children_fb_rhand
280006BB = fx_object.fxl | fx_object_waterdrip_base
2800077F = fx_object.fxl | fx_object_Interface_define_2
2800074D = fx_props.fxl | props_dt_largesigns_dt_largesign02_med
5800002A = fx_sizzle.fxl | E3Siz_Bullet
2200001F = fx_sound_ambient.fxl | Defaults_Default Exterior Spawner
280004A0 = fx_character.fxl | fx_character_armor
28000653 = fx_character.fxl | fx_character_acoustic_decoys
28000768 = fx_character.fxl | fx_character_dazed_loop
2800014B = fx_character.fxl | viruscast_split_ravager_ravager_start
280007F9 = fx_character.fxl | viruscast_split_network_firewall_networkfirewall1_start
280007AB = fx_character.fxl | viruscast_split_freeze_area_freezearea4_end
2800083F = fx_character.fxl | fx_character_teleport_component
28000898 = fx_character.fxl | viruscast_split_remoteproxy_remoteproxy4_start
28000960 = fx_character.fxl | viruscast_split_fixsimulacra_fixsimulacra_start
58000023 = fx_dialog.fxl | Merovingian_GROUPED MESSAGES_Merovingian_Speaks_To_Old_Member
58000142 = fx_dialog.fxl | Niobe_Misc Lines_Niobe_BeCareful
58000178 = fx_dialog.fxl | Persephone_Misc Lines_Persephone_Yes
58000194 = fx_dialog.fxl | Persephone_Cell Phone_Persephone_YouCanMeetContactThere
58000228 = fx_dialog.fxl | Oracle_Player Arrives at Spot_Oracle_ThisIsThePlace
58000249 = fx_dialog.fxl | Oracle_Offers Cookie_Oracle_HaveACookie
580002BB = fx_dialog.fxl | Persephone_Speaks to Old Member_Persephone_MyHusbandDoesntTakeVeryGoodCareOfHisToysButYou
04000049 = fx_dialog.fxl | Morpheus_Receives Message from Oracle_MorpheusRecording_AtLastIHaveBeenWaitingForThis
28000488 = fx_footsteps.fxl | fx_footsteps_Water_Left
8600012F = fx_footsteps.fxl | fx_footsteps_Ladder_metal_ladder_left_hand
12000001 = fx_GoldenTickets.fxl | Test_raining
280004C2 = fx_handcombat.fxl | fx_handcombat_Hit_HL_B
280004DB = fx_handcombat.fxl | fx_handcombat_Hit_MF_C
20000020 = fx_handcombat.fxl | sounds_Flip_01
08000BC4 = fx_live_events.fxl | winter_snowsim_children_ss2_rhand
04000031 = fx_npc.fxl | headless_bossgush
28000781 = fx_object.fxl | fx_object_Interface_define_3
280009B4 = fx_object.fxl | fx_object_Interface_neighborhood_names_mannsdale
280006DC = fx_props.fxl | props_floorvent_steam_small
2800074F = fx_props.fxl | props_dt_largesigns_dt_largesign03_med
4A0000FE = fx_props.fxl | club_props_spotlights_angled_rotating_6m_rotating_green_1
20000008 = fx_RichWorldSnds.fxl | Cars_Taxi_stopping
22000034 = fx_sound_ambient.fxl | World Const_Ashencourte Spawner
280006AA = fx_character.fxl | fx_character_blind_loop
2800003F = fx_character.fxl | viruscast_split_code_freeze_codefreeze1_end
28000191 = fx_character.fxl | viruscast_split_move_accelerator_moveaccelerator1_end
280007AF = fx_character.fxl | viruscast_split_freeze_area_freezearea5_end
280007C8 = fx_character.fxl | viruscast_split_enhanced_dodge_enhanceddodge_start
2800089C = fx_character.fxl | viruscast_split_remoteproxy_remoteproxy5_start
28000983 = fx_character.fxl | viruscast_split_panicked_heal_panickedheal_start
28000A48 = fx_character.fxl | fx_character_shadow_object_ramp_down
58000113 = fx_dialog.fxl | Sati_Misc Lines_Sati_ThatsRight
5800019B = fx_dialog.fxl | Persephone_Cell Phone_Persephone_INeedYouToPickSomethingUp
580001CF = fx_dialog.fxl | Merovingian_Speaks to New Recruit_Merovingian_MyRulesAreQuiteSimple
58000327 = fx_dialog.fxl | Seraph_Takes Item_Seraph_TheExcellenceOfAGiftLiesInItsAppropriatenessRatherThan
4A000036 = fx_environmental.fxl | fx_environmental_fire2
86000164 = fx_footsteps.fxl | fx_footsteps_Barefoot_Concrete_Left
12463186 = fx_halloween.fxl | monsters_spawn_in
280004D6 = fx_handcombat.fxl | fx_handcombat_Hit_HL_C
280004BA = fx_object.fxl | fx_object_headlights_taxi_headlights
28000565 = fx_object.fxl | fx_object_ping
280005BA = fx_object.fxl | fx_object_Interface_electricB1
124630D5 = fx_Pandoras_Box.fxl | Box_opening
28000751 = fx_props.fxl | props_dt_largesigns_dt_largesign04_med
2800075F = fx_props.fxl | props_dt_largesigns_dt_largesign13_med
10000000 = fx_RichWorldSnds.fxl | Pigeons_idle
860001A8 = fx_sound_ambient.fxl | World Const_Yuki Spawner
860001C8 = fx_sound_ambient.fxl | World Int_White Room Spawner
28000430 = fx_character.fxl | fx_character_health_drain
280007F2 = fx_character.fxl | viruscast_split_code_freeze_codefreeze2_end
28000196 = fx_character.fxl | viruscast_split_move_accelerator_moveaccelerator2_end
280007D6 = fx_character.fxl | viruscast_split_disruption_field_disruptionfield_end
28000917 = fx_character.fxl | viruscast_split_intense_attack_intense_attack_lefthand
C6000002 = fx_character.fxl | viruscast_split_drain_code_draincode_middle
4A000011 = fx_cinematic.fxl | cinematic 1.3_time_bomb_countdown_:50_:45
580000C7 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_YouBitch
580000DA = fx_dialog.fxl | Merovingian_Cell Phone_Merovingian_ThisIsTheMerovingian
580002C8 = fx_dialog.fxl | Persephone_Takes Item_Persephone_ThankYou
58000326 = fx_dialog.fxl | Seraph_Takes Item_Seraph_IAppreciateThis
5800033F = fx_dialog.fxl | Niobe_Gives Item_Niobe_NowItsTimeForMeToGiveYouSomething
60000000 = fx_footsteps.fxl | fx_footsteps_Default_Left
2800056B = fx_object.fxl | GameObjects_active_desktop_computer_black
280005BF = fx_object.fxl | fx_object_Interface_electricB2
28000780 = fx_object.fxl | fx_object_Interface_define_5
2800099F = fx_object.fxl | fx_object_Interface_neighborhood_names_dannah_heights
28000753 = fx_props.fxl | props_dt_largesigns_dt_largesign05_med
28000761 = fx_props.fxl | props_dt_largesigns_dt_largesign14_med
2000000C = fx_RichWorldSnds.fxl | Helicopter_climbing
22000070 = fx_ui.fxl | Combat_FX_CombatFX_Staggered
86000116 = fx_weapon.fxl | fx_weapon_revolver1_equip
2800060A = fx_character.fxl | hacker_damage_targetbase
2800060D = fx_character.fxl | hacker_simulacra_death_base
2800064A = fx_character.fxl | fx_character_visual_decoys_cast
2800002B = fx_character.fxl | viruscast_split__utility__start
28000086 = fx_character.fxl | viruscast_split_code_flux_codeflux_start
2800019A = fx_character.fxl | viruscast_split_move_accelerator_moveaccelerator3_end
28000A21 = fx_character.fxl | fx_character_hyperdodge_loop
5800017C = fx_dialog.fxl | Persephone_Misc Lines_Persephone_BadFeelingAboutThis
58000184 = fx_dialog.fxl | Persephone_Misc Lines_Persephone_DontEatDrinkAnythingHeGives
58000205 = fx_dialog.fxl | Morpheus_Being Attacked_Morpheus_IAmNotAfraidOfYou
5800026A = fx_dialog.fxl | Oracle_Random Quotes_Oracle_YouOnlyLiveOnceBut
580002B5 = fx_dialog.fxl | Persephone_Speaks to New Recruit_Persephone_WhenSomeoneGivesYouATaskMakeSureTheyreSatis
58000325 = fx_dialog.fxl | Seraph_Takes Item_Seraph_ThisIsWhatINeedThankyou
58000332 = fx_dialog.fxl | Niobe_Being Attacked_Niobe_ALittleHelpHereWouldBeNice
58000353 = fx_dialog.fxl | Niobe_Intro and Recruiting_Niobe_WeCouldUseSomeoneLikeYou
860000B6 = fx_environmental.fxl | Sounds_corpse_open
86000121 = fx_footsteps.fxl | fx_footsteps_Lands_carpet
86000191 = fx_footsteps.fxl | fx_footsteps_Robot_left
1246311F = fx_GoldenTickets.fxl | anti-stun pill_lil_widgets
20000022 = fx_handcombat.fxl | sounds_Move700ms
280005C0 = fx_object.fxl | fx_object_Interface_electricB3
280006CE = fx_object.fxl | fx_object_Interface_construct_zoom_out
040000A0 = fx_Pandoras_Box.fxl | Portal_kuno_portal_loop_daimyo
28000755 = fx_props.fxl | props_dt_largesigns_dt_largesign06_med
86000117 = fx_weapon.fxl | fx_weapon_revolver2_equip
2800071A = fx_character.fxl | combat_rev9_components_precise_power_righthand
28000863 = fx_character.fxl | viruscast_split_lockdown_lockdown1_middle
28000959 = fx_character.fxl | viruscast_split_stopproxy_stopproxy1
28000993 = fx_character.fxl | viruscast_split_avoidance_avoidance_start
4A00000A = fx_cinematic.fxl | cinematic 5.1_components_2beam_component_1
580000B6 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_YouUnderstandNow
580001A1 = fx_dialog.fxl | Merovingian_Tries Recruiting Player_Merovingian_ThereAreManyAdvantagesToWorkingForMe
580001E9 = fx_dialog.fxl | Merovingian_Tries Recruiting Player_Merovingian_ICanBeAVeryRewardingPatron
58000203 = fx_dialog.fxl | Morpheus_Arrives at Spot_Morpheus_YourGuidanceWasInvaluabe
58000239 = fx_dialog.fxl | Oracle_Gives Item_Oracle_ThisIsForLaterTakeIt
580002D4 = fx_dialog.fxl | Sati_Greets Enemy_Sati_YouSeemKindofScary
5800037E = fx_dialog.fxl | Tyndall_Graduation_AchievedRep16
280004E8 = fx_environmental.fxl | fx_environmental_black_smoke_medium
12DEC752 = fx_halloween.fxl | mask_activate
280004C6 = fx_handcombat.fxl | fx_handcombat_Hit_LL_B
280005C2 = fx_object.fxl | fx_object_Interface_electricB4
28000684 = fx_object.fxl | Traps_detect_code_trap_deadly
280009F9 = fx_object.fxl | fx_object_holywater_impact_no_steam
28000757 = fx_props.fxl | props_dt_largesigns_dt_largesign07_med
4A0000C7 = fx_props.fxl | club_props_projected_patterns_green_spinner1
2800071E = fx_character.fxl | combat_rev9_components_precise_speed_rightfoot
2800072A = fx_character.fxl | combat_rev9_components_powershot_lefthand
28000027 = fx_character.fxl | viruscast_split__health__start
28000054 = fx_character.fxl | viruscast_split_enrage_enrage1_start
280001EE = fx_character.fxl | viruscast_split_improved_hacking_improvedhacking_start
28000810 = fx_character.fxl | viruscast_split_destroyer_destroyer
28000855 = fx_character.fxl | viruscast_split_enhancedaemon_enhancedaemon_end
28000A73 = fx_character.fxl | viruscast_split_balance_balance_end
580000BC = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_FloodWillSeeToYourNeeds
580000C1 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_ThisIsBlackwood
580001B9 = fx_dialog.fxl | Merovingian_Comments on Morpheus Hatred_Merovingian_IShouldHaveHadHimKilledLongAgo
58000270 = fx_dialog.fxl | Oracle_Random Quotes_Oracle_NoMatterWhatSideYouChoose
580002ED = fx_dialog.fxl | Sati_Gives Item_Sati_IWantYouToTakeThis
5800030C = fx_dialog.fxl | Seraph_Being Attacked_Seraph_ThisHostilityCannotGoUnmet
58000320 = fx_dialog.fxl | Seraph_Stops Following_Seraph_IWillRemainHerePleaseDontDelay
58000323 = fx_dialog.fxl | Seraph_Stops Following_Seraph_IAmCertainTheWaitWillBeWorthwhile
2200062D = fx_environmental.fxl | Sounds_matrixeffect_enter
22000651 = fx_environmental.fxl | Rain_rain_splash_day
22000019 = fx_environmental.fxl | Lightning_Lightning_Spawner_Large_indoor
8600013D = fx_footsteps.fxl | fx_footsteps_Pipe_pipe_right_hand
280004C9 = fx_handcombat.fxl | fx_handcombat_Hit_ML_B
280004D9 = fx_handcombat.fxl | fx_handcombat_Hit_LL_C
1246313A = fx_live_events_2.fxl | flitgun_spray
2200001E = fx_object.fxl | fx_object_Interface_white_transition_out
280009A3 = fx_object.fxl | fx_object_Interface_neighborhood_names_edgewater
28000759 = fx_props.fxl | props_dt_largesigns_dt_largesign08_med
4A0000C8 = fx_props.fxl | club_props_projected_patterns_green_spinner2
2800051E = fx_weapon.fxl | fx_weapon_explosions_explosion_small
860000A0 = fx_character.fxl | Emotes_crackknuckles
28000057 = fx_character.fxl | viruscast_split_enrage_enrage2_start
2800014E = fx_character.fxl | viruscast_split_range_booster_rangebooster_middle
280001DB = fx_character.fxl | viruscast_split_insidious_code_insidiouscode
28000867 = fx_character.fxl | viruscast_split_logicdaemon_logicdaemon1_middle
28000965 = fx_character.fxl | viruscast_split_extreme_healing_extremehealing
12DEC75E = fx_cryptos.fxl | dialog_05_10_32010_01
580001BA = fx_dialog.fxl | Merovingian_Exclamations_Merovingian_MustIDoEverything
58000375 = fx_dialog.fxl | Lock_Graduation_FinishedSeduction
58000386 = fx_dialog.fxl | Tyndall_Graduation_AchievedRep81
28000563 = fx_environmental.fxl | fx_environmental_black_smoke_xlarge
280004CB = fx_handcombat.fxl | fx_handcombat_Hit_HR_B
280004DC = fx_handcombat.fxl | fx_handcombat_Hit_ML_C
280005AE = fx_interlock.fxl | fx_interlock_Virus_Launcher_launch_virus_helpful
04000059 = fx_npc.fxl | oligarchs_spawns_death
2800057E = fx_object.fxl | GameObjects_desk_component_left
28000682 = fx_object.fxl | Traps_detect_component_deadly
04000026 = fx_object.fxl | fx_object_brownie_impact
28000612 = fx_props.fxl | props_radiator_slum
2800075B = fx_props.fxl | props_dt_largesigns_dt_largesign09_med
4A0000C9 = fx_props.fxl | club_props_projected_patterns_green_spinner3
20000007 = fx_RichWorldSnds.fxl | Cars_Taxi_drive
2000000A = fx_RichWorldSnds.fxl | Helicopter_flying
860000CD = fx_RichWorldSnds.fxl | subway_cars_subwaycar_door_open
860001A6 = fx_sound_ambient.fxl | World Const_Sakura Spawner
860001AC = fx_sound_ambient.fxl | World Int_Dungeon Warehouse Spawner
860001C3 = fx_sound_ambient.fxl | World Int_Club Upscale 0
280005D0 = fx_weapon.fxl | fx_weapon_submachinegun1_muzzle_flash
04000034 = fx_winter.fxl | partyhats_activate_silver
28000607 = fx_character.fxl | hacker_buff_targetbase
28000633 = fx_character.fxl | fx_character_upgrade
2800005A = fx_character.fxl | viruscast_split_enrage_enrage3_start
280000BA = fx_character.fxl | viruscast_split_combat_aura_combataura1_end
2800015E = fx_character.fxl | viruscast_split_plague_zone_plaguezone1
2800016B = fx_character.fxl | viruscast_split_personal_firewall_personalfirewall1
28000819 = fx_character.fxl | viruscast_split_despoiler_despoiler_end
2800086B = fx_character.fxl | viruscast_split_logicdaemon_logicdaemon2_middle
28000A41 = fx_character.fxl | area_effects_heal
28000763 = fx_cinematic.fxl | cinematic 2.2_flies_exploding_from_assassin
12DEC75F = fx_cryptos.fxl | dialog_05_10_32011_01
12DEC768 = fx_cryptos.fxl | dialog_05_10_32020_01
58000102 = fx_dialog.fxl | Morpheus_GROUPED MESSAGES_Morpheus_Gives_Message_For_Oracle
580001DA = fx_dialog.fxl | Merovingian_Stops Following_Merovingian_ThisSpotWillDo
86000157 = fx_environmental.fxl | Sounds_cupboard_open
86000128 = fx_footsteps.fxl | fx_footsteps_Lands_small_brick
280004D7 = fx_handcombat.fxl | fx_handcombat_Hit_HR_C
4A0000CA = fx_props.fxl | club_props_projected_patterns_green_spinner4
280005D1 = fx_weapon.fxl | fx_weapon_submachinegun2_muzzle_flash
280004AB = fx_character.fxl | invisiblity_self_ramp_up
860000AB = fx_character.fxl | Emotes_sarcasticclap_female
2800002E = fx_character.fxl | fx_character_area_disruption
280000B5 = fx_character.fxl | viruscast_split_code_shock_codeshock
280000BF = fx_character.fxl | viruscast_split_combat_aura_combataura2_end
280000EE = fx_character.fxl | viruscast_split_upgrade_attacks_upgradeattacks
2800011A = fx_character.fxl | viruscast_split_revitalize_rsi_revitalize_rsi_start
28000162 = fx_character.fxl | viruscast_split_plague_zone_plaguezone2
2800016C = fx_character.fxl | viruscast_split_personal_firewall_personalfirewall2
2800086F = fx_character.fxl | viruscast_split_logicdaemon_logicdaemon3_middle
5800002B = fx_dialog.fxl | Merovingian_GROUPED MESSAGES_Merovingian_Follows
580000C3 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_DontDareCrossMe
