LITTLE      BIG             SYMBOLICNAME
aa010028 280001aa = FX_VIRUSCAST_SPLIT_LOGIC_CANNON_LOGICCANNON2_END
ab010028 280001ab = FX_VIRUSCAST_SPLIT_LOGIC_CANNON_LOGICCANNON2_MIDDLE
ac010028 280001ac = FX_VIRUSCAST_SPLIT_LOGIC_CANNON_LOGICCANNON2_START
ad010028 280001ad = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB2_END
ae010028 280001ae = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB2_MIDDLE
af010028 280001af = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB2_START
b1010028 280001b1 = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB3_END
b2010028 280001b2 = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB3_MIDDLE
b3010028 280001b3 = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB3_START
b4010028 280001b4 = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB4_END
b5010028 280001b5 = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB4_MIDDLE
b6010028 280001b6 = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB4_START
b7010028 280001b7 = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB1
b8010028 280001b8 = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB2
b9010028 280001b9 = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB3
ba010028 280001ba = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB4
bb010028 280001bb = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST1_END
bc010028 280001bc = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST1_MIDDLE
bd010028 280001bd = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST1_START
bf010028 280001bf = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST1
c0010028 280001c0 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST2
c1010028 280001c1 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST3
c2010028 280001c2 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST4
c3010028 280001c3 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST5
c4010028 280001c4 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST6
c5010028 280001c5 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST2_END
c6010028 280001c6 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST2_MIDDLE
c7010028 280001c7 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST2_START
c8010028 280001c8 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST3_END
c9010028 280001c9 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST3_MIDDLE
ca010028 280001ca = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST3_START
cb010028 280001cb = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST4_END
cc010028 280001cc = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST4_MIDDLE
cd010028 280001cd = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST4_START
fb070028 280007fb = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST5_END
cf010028 280001cf = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST5_MIDDLE
d0010028 280001d0 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST5_START
d1010028 280001d1 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST6_END
d2010028 280001d2 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST6_MIDDLE
d3010028 280001d3 = FX_VIRUSCAST_SPLIT_LOGIC_BLAST_LOGICBLAST6_START
d4010028 280001d4 = FX_VIRUSCAST_SPLIT_LOGIC_BARRAGE_LOGICBARRAGE_END
d5010028 280001d5 = FX_VIRUSCAST_SPLIT_LOGIC_BARRAGE_LOGICBARRAGE_MIDDLE
d6010028 280001d6 = FX_VIRUSCAST_SPLIT_LOGIC_BARRAGE_LOGICBARRAGE_START
d7010028 280001d7 = FX_VIRUSCAST_SPLIT_LOGIC_BARRAGE_LOGICBARRAGE
d8010028 280001d8 = FX_VIRUSCAST_SPLIT_INSIDIOUS_CODE_INSIDIOUSCODE_END
d9010028 280001d9 = FX_VIRUSCAST_SPLIT_INSIDIOUS_CODE_INSIDIOUSCODE_MIDDLE
da010028 280001da = FX_VIRUSCAST_SPLIT_INSIDIOUS_CODE_INSIDIOUSCODE_START
db010028 280001db = FX_VIRUSCAST_SPLIT_INSIDIOUS_CODE_INSIDIOUSCODE
dc010028 280001dc = FX_VIRUSCAST_SPLIT_INEFFICIENCY_FIELD_INEFFICIENCYFIELD1_END
dd010028 280001dd = FX_VIRUSCAST_SPLIT_INEFFICIENCY_FIELD_INEFFICIENCYFIELD1_MIDDLE
de010028 280001de = FX_VIRUSCAST_SPLIT_INEFFICIENCY_FIELD_INEFFICIENCYFIELD1_START
df010028 280001df = FX_VIRUSCAST_SPLIT_INEFFICIENCY_FIELD_INEFFICIENCYFIELD1
e0010028 280001e0 = FX_VIRUSCAST_SPLIT_INEFFICIENCY_FIELD_INEFFICIENCYFIELD2_END
e1010028 280001e1 = FX_VIRUSCAST_SPLIT_INEFFICIENCY_FIELD_INEFFICIENCYFIELD2_MIDDLE
e2010028 280001e2 = FX_VIRUSCAST_SPLIT_INEFFICIENCY_FIELD_INEFFICIENCYFIELD2_START
e3010028 280001e3 = FX_VIRUSCAST_SPLIT_INEFFICIENCY_FIELD_INEFFICIENCYFIELD2
e4010028 280001e4 = FX_VIRUSCAST_SPLIT_INFECT_AREA_INFECTAREA1_END
e5010028 280001e5 = FX_VIRUSCAST_SPLIT_INFECT_AREA_INFECTAREA1_MIDDLE
e6010028 280001e6 = FX_VIRUSCAST_SPLIT_INFECT_AREA_INFECTAREA1_START
e7010028 280001e7 = FX_VIRUSCAST_SPLIT_INFECT_AREA_INFECTAREA1
e8010028 280001e8 = FX_VIRUSCAST_SPLIT_INFECT_AREA_INFECTAREA2_END
e9010028 280001e9 = FX_VIRUSCAST_SPLIT_INFECT_AREA_INFECTAREA2_MIDDLE
ea010028 280001ea = FX_VIRUSCAST_SPLIT_INFECT_AREA_INFECTAREA2_START
eb010028 280001eb = FX_VIRUSCAST_SPLIT_INFECT_AREA_INFECTAREA2
ec010028 280001ec = FX_VIRUSCAST_SPLIT_IMPROVED_HACKING_IMPROVEDHACKING_END
ed010028 280001ed = FX_VIRUSCAST_SPLIT_IMPROVED_HACKING_IMPROVEDHACKING_MIDDLE
ee010028 280001ee = FX_VIRUSCAST_SPLIT_IMPROVED_HACKING_IMPROVEDHACKING_START
ef010028 280001ef = FX_VIRUSCAST_SPLIT_IMPROVED_HACKING_IMPROVEDHACKING
f0010028 280001f0 = FX_VIRUSCAST_SPLIT_HARMFUL_CODE_HARMFULCODE1_END
f1010028 280001f1 = FX_VIRUSCAST_SPLIT_HARMFUL_CODE_HARMFULCODE1_MIDDLE
f2010028 280001f2 = FX_VIRUSCAST_SPLIT_HARMFUL_CODE_HARMFULCODE1_START
f3010028 280001f3 = FX_VIRUSCAST_SPLIT_HARMFUL_CODE_HARMFULCODE1
f4010028 280001f4 = FX_VIRUSCAST_SPLIT_HARMFUL_CODE_HARMFULCODE2
f5010028 280001f5 = FX_VIRUSCAST_SPLIT_HARMFUL_CODE_HARMFULCODE2_END
f6010028 280001f6 = FX_VIRUSCAST_SPLIT_HARMFUL_CODE_HARMFULCODE2_MIDDLE
f7010028 280001f7 = FX_VIRUSCAST_SPLIT_HARMFUL_CODE_HARMFULCODE2_START
f8010028 280001f8 = FX_VIRUSCAST_SPLIT_HARMFUL_CODE_HARMFULCODE3
f9010028 280001f9 = FX_VIRUSCAST_SPLIT_HARMFUL_CODE_HARMFULCODE3_END
fa010028 280001fa = FX_VIRUSCAST_SPLIT_HARMFUL_CODE_HARMFULCODE3_MIDDLE
fb010028 280001fb = FX_VIRUSCAST_SPLIT_HARMFUL_CODE_HARMFULCODE3_START
fc010028 280001fc = FX_VIRUSCAST_SPLIT_HACKER_HACKER_END
fd010028 280001fd = FX_VIRUSCAST_SPLIT_HACKER_HACKER_MIDDLE
fe010028 280001fe = FX_VIRUSCAST_SPLIT_HACKER_HACKER_START
ff010028 280001ff = FX_VIRUSCAST_SPLIT_HACKER_HACKER
1c020028 2800021c = FX_VIRUSCAST_SPLIT_FUMBLE_FIELD_FUMBLEFIELD_END
1d020028 2800021d = FX_VIRUSCAST_SPLIT_FUMBLE_FIELD_FUMBLEFIELD_MIDDLE
1e020028 2800021e = FX_VIRUSCAST_SPLIT_FUMBLE_FIELD_FUMBLEFIELD_START
1f020028 2800021f = FX_VIRUSCAST_SPLIT_FUMBLE_FIELD_FUMBLEFIELD
20020028 28000220 = FX_VIRUSCAST_SPLIT_FREEZE_SYSTEM_FREEZESYSTEM1_END
21020028 28000221 = FX_VIRUSCAST_SPLIT_FREEZE_SYSTEM_FREEZESYSTEM1_MIDDLE
22020028 28000222 = FX_VIRUSCAST_SPLIT_FREEZE_SYSTEM_FREEZESYSTEM1_START
23020028 28000223 = FX_VIRUSCAST_SPLIT_FREEZE_SYSTEM_FREEZESYSTEM1
96070028 28000796 = FX_VIRUSCAST_SPLIT_FREEZE_SYSTEM_FREEZESYSTEM2
97070028 28000797 = FX_VIRUSCAST_SPLIT_FREEZE_SYSTEM_FREEZESYSTEM2_END
98070028 28000798 = FX_VIRUSCAST_SPLIT_FREEZE_SYSTEM_FREEZESYSTEM2_MIDDLE
99070028 28000799 = FX_VIRUSCAST_SPLIT_FREEZE_SYSTEM_FREEZESYSTEM2_START
9a070028 2800079a = FX_VIRUSCAST_SPLIT_FREEZE_SYSTEM_FREEZESYSTEM3
9b070028 2800079b = FX_VIRUSCAST_SPLIT_FREEZE_SYSTEM_FREEZESYSTEM3_END
9c070028 2800079c = FX_VIRUSCAST_SPLIT_FREEZE_SYSTEM_FREEZESYSTEM3_MIDDLE
9d070028 2800079d = FX_VIRUSCAST_SPLIT_FREEZE_SYSTEM_FREEZESYSTEM3_START
9e070028 2800079e = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA1_END
9f070028 2800079f = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA1_MIDDLE
a0070028 280007a0 = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA1_START
a1070028 280007a1 = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA1
a2070028 280007a2 = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA2_END
a3070028 280007a3 = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA2_MIDDLE
a4070028 280007a4 = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA2_START
a5070028 280007a5 = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA2
a6070028 280007a6 = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA3
a7070028 280007a7 = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA3_END
a8070028 280007a8 = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA3_MIDDLE
a9070028 280007a9 = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA3_START
aa070028 280007aa = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA4
ab070028 280007ab = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA4_END
ac070028 280007ac = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA4_MIDDLE
ad070028 280007ad = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA4_START
ae070028 280007ae = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA5
af070028 280007af = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA5_END
b0070028 280007b0 = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA5_MIDDLE
b1070028 280007b1 = FX_VIRUSCAST_SPLIT_FREEZE_AREA_FREEZEAREA5_START
b2070028 280007b2 = FX_VIRUSCAST_SPLIT_FAST_HEALING_FASTHEALING1_END
b3070028 280007b3 = FX_VIRUSCAST_SPLIT_FAST_HEALING_FASTHEALING1_MIDDLE
b4070028 280007b4 = FX_VIRUSCAST_SPLIT_FAST_HEALING_FASTHEALING1_START
b5070028 280007b5 = FX_VIRUSCAST_SPLIT_FAST_HEALING_FASTHEALING1
b6070028 280007b6 = FX_VIRUSCAST_SPLIT_FAST_HEALING_FASTHEALING2_END
b7070028 280007b7 = FX_VIRUSCAST_SPLIT_FAST_HEALING_FASTHEALING2_MIDDLE
b8070028 280007b8 = FX_VIRUSCAST_SPLIT_FAST_HEALING_FASTHEALING2_START
b9070028 280007b9 = FX_VIRUSCAST_SPLIT_FAST_HEALING_FASTHEALING2
c2070028 280007c2 = FX_VIRUSCAST_SPLIT_ENHANCED_POTENCY_ENHANCEDPOTENCY_END
c3070028 280007c3 = FX_VIRUSCAST_SPLIT_ENHANCED_POTENCY_ENHANCEDPOTENCY_MIDDLE
c4070028 280007c4 = FX_VIRUSCAST_SPLIT_ENHANCED_POTENCY_ENHANCEDPOTENCY_START
c5070028 280007c5 = FX_VIRUSCAST_SPLIT_ENHANCED_POTENCY_ENHANCEDPOTENCY
c6070028 280007c6 = FX_VIRUSCAST_SPLIT_ENHANCED_DODGE_ENHANCEDDODGE_END
c7070028 280007c7 = FX_VIRUSCAST_SPLIT_ENHANCED_DODGE_ENHANCEDDODGE_MIDDLE
c8070028 280007c8 = FX_VIRUSCAST_SPLIT_ENHANCED_DODGE_ENHANCEDDODGE_START
c9070028 280007c9 = FX_VIRUSCAST_SPLIT_ENHANCED_DODGE_ENHANCEDDODGE
d2070028 280007d2 = FX_VIRUSCAST_SPLIT_EFFICIENCY_EFFICIENCY1_END
d3070028 280007d3 = FX_VIRUSCAST_SPLIT_EFFICIENCY_EFFICIENCY1_MIDDLE
d4070028 280007d4 = FX_VIRUSCAST_SPLIT_EFFICIENCY_EFFICIENCY1_START
d5070028 280007d5 = FX_VIRUSCAST_SPLIT_EFFICIENCY_EFFICIENCY1
d6070028 280007d6 = FX_VIRUSCAST_SPLIT_DISRUPTION_FIELD_DISRUPTIONFIELD_END
d7070028 280007d7 = FX_VIRUSCAST_SPLIT_DISRUPTION_FIELD_DISRUPTIONFIELD_MIDDLE
d8070028 280007d8 = FX_VIRUSCAST_SPLIT_DISRUPTION_FIELD_DISRUPTIONFIELD_START
d9070028 280007d9 = FX_VIRUSCAST_SPLIT_DISRUPTION_FIELD_DISRUPTIONFIELD
da070028 280007da = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS1_END
db070028 280007db = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS1_MIDDLE
dc070028 280007dc = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS1_START
dd070028 280007dd = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS1
de070028 280007de = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS2_END
df070028 280007df = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS2_MIDDLE
e0070028 280007e0 = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS2_START
e1070028 280007e1 = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS2
e2070028 280007e2 = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS3_END
e3070028 280007e3 = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS3_MIDDLE
e4070028 280007e4 = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS3_START
e5070028 280007e5 = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS3
e6070028 280007e6 = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS4_END
e7070028 280007e7 = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS4_MIDDLE
e8070028 280007e8 = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS4_START
e9070028 280007e9 = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS4
ea070028 280007ea = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS5_END
eb070028 280007eb = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS5_MIDDLE
ec070028 280007ec = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS5_START
ed070028 280007ed = FX_VIRUSCAST_SPLIT_DISRUPT_INPUTS_DISRUPTINPUTS5
ff070028 280007ff = FX_VIRUSCAST_SPLIT_WHITE_NOISE_WHITENOISE_END
00080028 28000800 = FX_VIRUSCAST_SPLIT_DEVASTATION_FIELD_DEVASTATIONFIELD_END
01080028 28000801 = FX_VIRUSCAST_SPLIT_DEVASTATION_FIELD_DEVASTATIONFIELD_MIDDLE
02080028 28000802 = FX_VIRUSCAST_SPLIT_DEVASTATION_FIELD_DEVASTATIONFIELD_START
03080028 28000803 = FX_VIRUSCAST_SPLIT_DEVASTATION_FIELD_DEVASTATIONFIELD
04080028 28000804 = FX_VIRUSCAST_SPLIT_DELETE_UPGRADE_DELETEUPGRADE1
05080028 28000805 = FX_VIRUSCAST_SPLIT_DELETE_UPGRADE_DELETEUPGRADE1_END
06080028 28000806 = FX_VIRUSCAST_SPLIT_DELETE_UPGRADE_DELETEUPGRADE1_MIDDLE
07080028 28000807 = FX_VIRUSCAST_SPLIT_DELETE_UPGRADE_DELETEUPGRADE1_START
09080028 28000809 = FX_VIRUSCAST_SPLIT_DELETE_UPGRADE_DELETEUPGRADE2
0a080028 2800080a = FX_VIRUSCAST_SPLIT_DELETE_UPGRADE_DELETEUPGRADE2_END
0b080028 2800080b = FX_VIRUSCAST_SPLIT_DELETE_UPGRADE_DELETEUPGRADE2_MIDDLE
0c080028 2800080c = FX_VIRUSCAST_SPLIT_DELETE_UPGRADE_DELETEUPGRADE2_START
0d080028 2800080d = FX_VIRUSCAST_SPLIT_DESTROYER_DESTROYER_END
0e080028 2800080e = FX_VIRUSCAST_SPLIT_DESTROYER_DESTROYER_MIDDLE
0f080028 2800080f = FX_VIRUSCAST_SPLIT_DESTROYER_DESTROYER_START
10080028 28000810 = FX_VIRUSCAST_SPLIT_DESTROYER_DESTROYER
11080028 28000811 = FX_VIRUSCAST_SPLIT_DESTROY_RESOLVE_DESTROYRESOLVE1_END
12080028 28000812 = FX_VIRUSCAST_SPLIT_DESTROY_RESOLVE_DESTROYRESOLVE1_MIDDLE
13080028 28000813 = FX_VIRUSCAST_SPLIT_DESTROY_RESOLVE_DESTROYRESOLVE1_START
14080028 28000814 = FX_VIRUSCAST_SPLIT_DESTROY_RESOLVE_DESTROYRESOLVE1
15080028 28000815 = FX_VIRUSCAST_SPLIT_DESTROY_HEALTH_DESTROYHEALTH_END
16080028 28000816 = FX_VIRUSCAST_SPLIT_DESTROY_HEALTH_DESTROYHEALTH_MIDDLE
17080028 28000817 = FX_VIRUSCAST_SPLIT_DESTROY_HEALTH_DESTROYHEALTH_START
18080028 28000818 = FX_VIRUSCAST_SPLIT_DESTROY_HEALTH_DESTROYHEALTH
19080028 28000819 = FX_VIRUSCAST_SPLIT_DESPOILER_DESPOILER_END
1a080028 2800081a = FX_VIRUSCAST_SPLIT_DESPOILER_DESPOILER_MIDDLE
1b080028 2800081b = FX_VIRUSCAST_SPLIT_DESPOILER_DESPOILER_START
1c080028 2800081c = FX_VIRUSCAST_SPLIT_DESPOILER_DESPOILER
1d080028 2800081d = FX_VIRUSCAST_SPLIT_DEFLECT_VIRUS_DEFLECTVIRUS1_END
1e080028 2800081e = FX_VIRUSCAST_SPLIT_DEFLECT_VIRUS_DEFLECTVIRUS1_MIDDLE
1f080028 2800081f = FX_VIRUSCAST_SPLIT_DEFLECT_VIRUS_DEFLECTVIRUS1_START
20080028 28000820 = FX_VIRUSCAST_SPLIT_DEFLECT_VIRUS_DEFLECTVIRUS1
21080028 28000821 = FX_VIRUSCAST_SPLIT_DEFLECT_BULLETS_DEFLECTBULLETS1_END
22080028 28000822 = FX_VIRUSCAST_SPLIT_DEFLECT_BULLETS_DEFLECTBULLETS1_MIDDLE
23080028 28000823 = FX_VIRUSCAST_SPLIT_DEFLECT_BULLETS_DEFLECTBULLETS1_START
24080028 28000824 = FX_VIRUSCAST_SPLIT_DEFLECT_BULLETS_DEFLECTBULLETS1
2c080028 2800082c = FX_SIGNAL_BOOST_SINGLE
30080028 28000830 = FX_SERVER_CORRECT_RU
39080028 28000839 = FX_CHARACTER_JACKOUT
3a080028 2800083a = FX_NPC_BOOST
3e080028 2800083e = FX_CHARACTER_TELEPORT_CAST
3f080028 2800083f = FX_CHARACTER_TELEPORT_COMPONENT
40080028 28000840 = FX_VIRUSCAST_SPLIT_ADVANCED_TINKERING_ADVANCEDTINKERING
41080028 28000841 = FX_VIRUSCAST_SPLIT_ADVANCED_TINKERING_ADVANCEDTINKERING_END
42080028 28000842 = FX_VIRUSCAST_SPLIT_ADVANCED_TINKERING_ADVANCEDTINKERING_MIDDLE
43080028 28000843 = FX_VIRUSCAST_SPLIT_ADVANCED_TINKERING_ADVANCEDTINKERING_START
44080028 28000844 = FX_VIRUSCAST_SPLIT_DAEMONBOOST_DAEMONBOOST1
45080028 28000845 = FX_VIRUSCAST_SPLIT_DAEMONBOOST_DAEMONBOOST1_END
46080028 28000846 = FX_VIRUSCAST_SPLIT_DAEMONBOOST_DAEMONBOOST1_MIDDLE
47080028 28000847 = FX_VIRUSCAST_SPLIT_DAEMONBOOST_DAEMONBOOST1_START
48080028 28000848 = FX_VIRUSCAST_SPLIT_DAEMONBOOST_DAEMONBOOST2
49080028 28000849 = FX_VIRUSCAST_SPLIT_DAEMONBOOST_DAEMONBOOST2_END
4a080028 2800084a = FX_VIRUSCAST_SPLIT_DAEMONBOOST_DAEMONBOOST2_MIDDLE
4b080028 2800084b = FX_VIRUSCAST_SPLIT_DAEMONBOOST_DAEMONBOOST2_START
4c080028 2800084c = FX_VIRUSCAST_SPLIT_DECOYS_DECOYS1
4d080028 2800084d = FX_VIRUSCAST_SPLIT_DECOYS_DECOYS1_END
4e080028 2800084e = FX_VIRUSCAST_SPLIT_DECOYS_DECOYS1_MIDDLE
4f080028 2800084f = FX_VIRUSCAST_SPLIT_DECOYS_DECOYS1_START
54080028 28000854 = FX_VIRUSCAST_SPLIT_ENHANCEDAEMON_ENHANCEDAEMON
55080028 28000855 = FX_VIRUSCAST_SPLIT_ENHANCEDAEMON_ENHANCEDAEMON_END
56080028 28000856 = FX_VIRUSCAST_SPLIT_ENHANCEDAEMON_ENHANCEDAEMON_MIDDLE
57080028 28000857 = FX_VIRUSCAST_SPLIT_ENHANCEDAEMON_ENHANCEDAEMON_START
5d080028 2800085d = FX_VIRUSCAST_SPLIT_FORTIFYSIMULACRA_FORTIFYSIMULACRA
5e080028 2800085e = FX_VIRUSCAST_SPLIT_FORTIFYSIMULACRA_FORTIFYSIMULACRA_END
5f080028 2800085f = FX_VIRUSCAST_SPLIT_FORTIFYSIMULACRA_FORTIFYSIMULACRA_MIDDLE
60080028 28000860 = FX_VIRUSCAST_SPLIT_FORTIFYSIMULACRA_FORTIFYSIMULACRA_START
61080028 28000861 = FX_VIRUSCAST_SPLIT_LOCKDOWN_LOCKDOWN1
62080028 28000862 = FX_VIRUSCAST_SPLIT_LOCKDOWN_LOCKDOWN1_END
63080028 28000863 = FX_VIRUSCAST_SPLIT_LOCKDOWN_LOCKDOWN1_MIDDLE
64080028 28000864 = FX_VIRUSCAST_SPLIT_LOCKDOWN_LOCKDOWN1_START
65080028 28000865 = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON1
66080028 28000866 = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON1_END
67080028 28000867 = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON1_MIDDLE
68080028 28000868 = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON1_START
69080028 28000869 = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON2
6a080028 2800086a = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON2_END
6b080028 2800086b = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON2_MIDDLE
6c080028 2800086c = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON2_START
6d080028 2800086d = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON3
6e080028 2800086e = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON3_END
6f080028 2800086f = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON3_MIDDLE
70080028 28000870 = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON3_START
71080028 28000871 = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON4
72080028 28000872 = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON4_END
73080028 28000873 = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON4_MIDDLE
74080028 28000874 = FX_VIRUSCAST_SPLIT_LOGICDAEMON_LOGICDAEMON4_START
75080028 28000875 = FX_VIRUSCAST_SPLIT_PATCHERDAEMON1_PATCHERDAEMON1
76080028 28000876 = FX_VIRUSCAST_SPLIT_PATCHERDAEMON1_PATCHERDAEMON1_END
77080028 28000877 = FX_VIRUSCAST_SPLIT_PATCHERDAEMON1_PATCHERDAEMON1_MIDDLE
78080028 28000878 = FX_VIRUSCAST_SPLIT_PATCHERDAEMON1_PATCHERDAEMON1_START
79080028 28000879 = FX_VIRUSCAST_SPLIT_PATCHERDAEMON2_PATCHERDAEMON2
7a080028 2800087a = FX_VIRUSCAST_SPLIT_PATCHERDAEMON2_PATCHERDAEMON2_END
7b080028 2800087b = FX_VIRUSCAST_SPLIT_PATCHERDAEMON2_PATCHERDAEMON2_MIDDLE
7c080028 2800087c = FX_VIRUSCAST_SPLIT_PATCHERDAEMON2_PATCHERDAEMON2_START
7d080028 2800087d = FX_VIRUSCAST_SPLIT_PATCHERDAEMON3_PATCHERDAEMON3
7e080028 2800087e = FX_VIRUSCAST_SPLIT_PATCHERDAEMON3_PATCHERDAEMON3_END
7f080028 2800087f = FX_VIRUSCAST_SPLIT_PATCHERDAEMON3_PATCHERDAEMON3_MIDDLE
80080028 28000880 = FX_VIRUSCAST_SPLIT_PATCHERDAEMON3_PATCHERDAEMON3_START
81080028 28000881 = FX_VIRUSCAST_SPLIT_POWERBOOST_POWERBOOST
82080028 28000882 = FX_VIRUSCAST_SPLIT_POWERBOOST_POWERBOOST_END
83080028 28000883 = FX_VIRUSCAST_SPLIT_POWERBOOST_POWERBOOST_MIDDLE
84080028 28000884 = FX_VIRUSCAST_SPLIT_POWERBOOST_POWERBOOST_START
